               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10286,            0.053781,            0.038489,                   0,                   0,                   0,                   0,             0.11555,            0.035807,            0.038129,              0.0973,              0.0003,              0.0003
                   1,            0.089905,            0.055732,            0.033419,                   0,                   0,                   0,                   0,             0.11385,            0.036297,            0.036536,            0.093693,          0.00069307,          0.00069307
                   2,            0.099317,            0.054151,            0.033849,                   0,                   0,                   0,                   0,             0.11039,            0.038586,            0.034369,            0.090078,           0.0010782,           0.0010782
                   3,             0.10077,            0.054996,            0.033232,          0.00030104,           0.0063264,          0.00018045,          2.7602e-05,             0.10371,            0.043045,            0.030823,            0.086455,           0.0014555,           0.0014555
                   4,            0.094696,            0.063316,            0.026988,          0.00085941,           0.0059908,          0.00045574,           8.002e-05,            0.099284,            0.046755,            0.028467,            0.082825,           0.0018248,           0.0018248
                   5,             0.10038,            0.059027,            0.028892,           0.0030377,            0.023287,           0.0019828,          0.00035215,            0.099758,            0.048658,            0.025534,            0.079186,           0.0021861,           0.0021861
                   6,            0.081139,            0.052027,            0.019355,             0.27713,            0.031076,           0.0091582,           0.0018938,            0.098089,            0.048306,            0.022552,             0.07554,           0.0025396,           0.0025396
                   7,            0.096734,            0.057387,            0.022804,             0.53442,            0.042298,            0.014713,           0.0029554,            0.095791,            0.044802,            0.020117,            0.071885,           0.0028852,           0.0028852
                   8,            0.095442,            0.054197,             0.02307,             0.57067,            0.056864,            0.023142,           0.0047277,            0.091506,            0.047153,            0.019116,            0.068223,           0.0032228,           0.0032228
                   9,            0.084675,             0.04382,            0.015564,             0.55408,            0.090442,             0.03931,           0.0083825,            0.097224,            0.039192,            0.018774,            0.064553,           0.0035525,           0.0035525
                  10,            0.067512,            0.042867,            0.012163,             0.80762,            0.089671,            0.040308,           0.0082825,            0.097259,            0.039526,             0.01908,            0.060874,           0.0038743,           0.0038743
                  11,            0.075157,            0.048877,            0.012111,             0.57332,             0.10277,            0.050391,            0.011799,            0.088661,            0.049873,            0.019278,            0.057188,           0.0041882,           0.0041882
                  12,            0.076598,            0.052202,            0.015391,             0.56386,             0.12873,            0.053206,            0.012658,            0.081434,            0.049989,            0.019017,            0.053494,           0.0044941,           0.0044941
                  13,            0.070303,            0.051134,            0.010691,             0.55121,             0.13001,            0.040705,           0.0099566,            0.098001,            0.051967,            0.018913,            0.049792,           0.0047922,           0.0047922
                  14,            0.071235,            0.047548,            0.014386,             0.79356,             0.13104,             0.03918,            0.010168,            0.088098,            0.047849,            0.018634,            0.046082,           0.0050823,           0.0050823
                  15,            0.091059,            0.050782,             0.01501,             0.79926,             0.14793,            0.043374,            0.010972,            0.084226,            0.044748,            0.018633,            0.042364,           0.0053644,           0.0053644
                  16,            0.087058,            0.054427,            0.019185,             0.79457,             0.12136,              0.0347,           0.0079265,             0.09083,            0.048551,            0.018121,            0.038639,           0.0056387,           0.0056387
                  17,            0.063293,            0.047942,            0.010652,             0.80049,             0.14491,            0.045339,            0.011406,            0.090455,            0.042187,             0.01772,            0.034905,           0.0059051,           0.0059051
                  18,            0.076924,            0.047061,            0.013587,             0.76878,             0.11382,            0.017735,           0.0049684,             0.10586,            0.037467,            0.017523,            0.031163,           0.0061635,           0.0061635
                  19,            0.083147,            0.043677,            0.014277,             0.80964,             0.11716,            0.051966,            0.013697,            0.098008,            0.034685,            0.017119,            0.027414,            0.006414,            0.006414
                  20,            0.084736,            0.038465,            0.013666,              0.7752,            0.058325,            0.022459,           0.0051141,             0.10619,            0.030006,            0.015627,            0.023657,           0.0066566,           0.0066566
